section,description,case_study
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The complainant Geeta filed a complaint in Vadodara alleging that her husband Manish Paul and mother-in-law subjected her to severe cruelty since their marriage on 23rd March 2024. They repeatedly demanded Rs. 1,000,000 as additional dowry."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","The accused Vikram Rathore mixed pesticide in the tea served to Anita in Indore. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Lucknow, the police arrested Umesh Chandra for running an online job scam. The accused cheated over fifty youngsters of Rs. 300,000 each, promising them government jobs and issuing fake appointment letters on 29th September 2024."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Surat, the prosecution proved that Ramesh Sen deliberately poisoned the meal of Divya with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 4th July 2024 at the local hospital."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","On 29th September 2024, the police raided a hideout in Delhi and arrested four gang members, including Anil Mehta. Stolen jewelry worth Rs. 800,000 was recovered. The gang had been habitually committing house thefts in the region."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Anil Mehta in Surat. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 10th October 2023, the accused Rajesh Kumar intercepted the victim Vivek in Hyderabad and stabbed him in the abdomen with a pistol. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The complainant alleged that the accused Arjun Kapoor running a bogus real estate firm in Bhopal promised to deliver a 2BHK flat. The complainant paid Rs. 1,000,000 on 12th January 2025, after which the accused locked the office and fled."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 5th November 2023, the complainant filed an FIR at the women's police station in Thane against Vijay Yadav (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 300,000 demanded by the in-laws."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The victim Abhishek of Indore committed suicide after continuous harassment by her husband Vijay Yadav and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Bengaluru, the prosecution proved that Arjun Kapoor deliberately poisoned the meal of Divya with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 10th October 2023 at the local hospital."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"On the night of 23rd March 2024, the accused Umesh Chandra engaged in a heated argument with the victim Geeta over a property boundary in Pune. The accused subsequently went inside, fetched a sickle, and inflicted multiple blows on the victim's head, causing instant death."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Rohan Das mixed pesticide in the tea served to Kiran in Nagpur. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"The police busted an active criminal gang in Kanpur that specialized in highway thefts. The accused Karan Johar and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
